Timestamp,Choose the ingredients: 
9/20/2020 21:11:47,"Cheese, Lettuce, Onions, Bacon, Mushrooms, Ketchup"
9/20/2020 21:13:10,"Cheese, Lettuce, Tomato, Bacon, Ketchup, Mustard, BBQ Sauce"
9/20/2020 21:13:20,"Cheese, Lettuce, Tomato, Pickles, Relish"
9/20/2020 21:16:10,"Cheese, Lettuce, Onions, Eggs, Chill, Chopped Chillies, Jalapenos, Ketchup, Mustard, Ranch, Mayo, Honey Mustard, BBQ Sauce, Hot Sauce"
9/20/2020 21:22:33,"Cheese, Pickles, Ketchup, Mustard, Mayo"
9/20/2020 21:23:21,"Cheese, Pickles, Ketchup, Mustard, Mayo"
9/20/2020 21:41:03,"Cheese, Lettuce, Pickles"
9/20/2020 21:44:57,"Lettuce, Tomato, Avacado, Bacon, Jalapenos"
9/20/2020 21:48:04,"Cheese, Lettuce, Pickles, Onions, Bacon, Ketchup, Mayo, Spicy mustard"
9/20/2020 21:53:15,"Cheese, Lettuce, Onions, Avacado, Bacon, Ketchup, Mayo"
9/20/2020 23:08:23,"Cheese, Lettuce, Tomato, Pickles, Onions, Chopped Chillies, Jalapenos, Ketchup, Mustard, Ranch, Honey Mustard, BBQ Sauce"
9/20/2020 23:21:59,"Cheese, Lettuce, Tomato, Bacon, Jalapenos, Honey Mustard, Burger patty"
9/20/2020 23:22:51,"Cheese, Lettuce, Onions, Bacon, Mushrooms, Ketchup"
9/21/2020 10:17:24,"Cheese, Lettuce, Onions, Avacado, Bacon, Eggs, Jalapenos, Hot Sauce"
9/21/2020 15:36:59,"Cheese, Lettuce, Pickles"
9/21/2020 19:42:48,"Cheese, Ketchup"
9/21/2020 20:30:16,"Cheese, Avacado, Bacon, Mushrooms, Eggs, Ketchup"
9/21/2020 20:30:53,"Cheese, Bacon, Eggs"
9/21/2020 20:31:03,"Lettuce, Tomato, Onions, Bacon"
9/21/2020 20:31:21,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Mushrooms, Ketchup, Mustard, Mayo"
9/21/2020 20:31:48,"Cheese, Lettuce, Tomato, Bacon, Mushrooms, Mustard"
9/21/2020 20:31:52,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mayo, BBQ Sauce"
9/21/2020 20:32:12,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mustard, Mayo"
9/21/2020 20:32:17,"Cheese, Lettuce, Tomato, Onions, Thousand island dressing"
9/21/2020 20:32:31,"Cheese, Lettuce, Tomato, Pickles, Onions, Avacado, Bacon, Mushrooms, Ketchup, Mustard"
9/21/2020 20:32:35,"Cheese, Pickles, Avacado, Mushrooms, Ketchup"
9/21/2020 20:32:40,"Cheese, Lettuce, Tomato, Onions, Bacon, Ketchup, Mayo"
9/21/2020 20:32:54,"Cheese, Lettuce, Tomato, Pickles, Onions, Ketchup, Mayo"
9/21/2020 20:33:01,"Cheese, Lettuce, Pickles, Ketchup"
9/21/2020 20:33:57,"Cheese, Lettuce, Tomato, Avacado, Bacon"
9/21/2020 20:34:50,"Pickles, Ketchup"
9/21/2020 20:35:10,"Cheese, Lettuce, Tomato, Pickles, Ketchup, Mustard, Mayo"
9/21/2020 20:35:47,"Cheese, Bacon, Ketchup"
9/21/2020 20:36:13,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Mushrooms, Ketchup, Mayo"
9/21/2020 20:36:21,"Cheese, Lettuce, Tomato, Pickles, Onions, Bacon, Ketchup, Mayo"
9/21/2020 20:36:31,"Cheese, Pickles, Onions, Bacon, Jalapenos, Ketchup, Mayo, Hot Sauce"
9/21/2020 20:36:38,"Cheese, Chopped Chillies, Mayo"
9/21/2020 20:37:04,"Cheese, Avacado, Ketchup"
9/21/2020 20:40:26,"Cheese, Avacado, Bacon, Mushrooms, Mustard"
